ft_attr;ftid;ptid;name
fme_feature_type;Fartsgrense;NVDB_FARTSGRENSEVERDI;fartsgrenseVerdi
fme_feature_type;FunksjonellVegklasse;NVDB_VEGKLASSE;vegklasse
fme_feature_type;Gågatereguleringer;VARETRANSPORT_HVERDAG_1_FRA;varetransportHverdagULørdagPeriode1FraKl
fme_feature_type;Gågatereguleringer;VARETRANSPORT_HVERDAG_1_TIL;varetransportHverdagULørdagPeriode1TilKl
fme_feature_type;Gågatereguleringer;VARETRANSPORT_HVERDAG_2_FRA;varetransportHverdagULørdagPeriode2FraKl
fme_feature_type;Gågatereguleringer;VARETRANSPORT_HVERDAG_2_TIL;varetransportHverdagULørdagPeriode2TilKl
fme_feature_type;Gågatereguleringer;VARETRANSPORT_LØRDAG_FRA;varetransportLørdagFra
fme_feature_type;Gågatereguleringer;VARETRANSPORT_LØRDAG_TIL;varetransportLørdagTil
fme_feature_type;Gågatereguleringer;KJØRING_TIL_EIENDOM_TILLAT;kjøringTilEiendommeneTillatt
fme_feature_type;Gågatereguleringer;NVDB_GEOMETRI_LINJE;senterlinje
fme_feature_type;Høydebegrensning;NVDB_SKILTAHØYDE;skiltaHøyde
fme_feature_type;Høydebegrensning;NVDB_TYPEHINDERHØYDEBEGRENSNING;typeHinderHøydebegrensning
fme_feature_type;Høydebegrensning;NVDB_SENTERLINJE;senterlinje
fme_feature_type;InnkjøringForbudt;NVDB_SENTERLINJE;senterlinje
fme_feature_type;Jernbanekryssing;NVDB_TYPEJERNBANEKRYSSING;typeJernbanekryssing
fme_feature_type;Jernbanekryssing;NVDB_POSISJON;posisjon
fme_feature_type;Landbruksvegklasse;NVDB_KLASSELANDBRUKSVEG;klasseLandbruksveg
fme_feature_type;Svingerestriksjon;NVDB_POSISJON;posisjon
fme_feature_type;Svingerestriksjon;SVINGEFORBUDFRA;svingeforbudFra
fme_feature_type;Svingerestriksjon;SVINGEFORBUDTIL;svingeforbudTil
fme_feature_type;Trafikkreguleringer;NVDB_TRAFIKKREGULERINGER;trafikkreguleringer
fme_feature_type;VærutsattVeg;NVDB_HØYFJELLSSTREKNING;høyfjellsstrekning
fme_feature_type;VærutsattVeg;NVDB_VINTERSTENGT_FRADATO;vinterstengt_FraDato
fme_feature_type;VærutsattVeg;NVDB_VINTERSTENGT_TILDATO;vinterstengt_TilDato
fme_feature_type;VærutsattVeg;NVDB_HOVEDPROBLEM;hovedproblem
fme_feature_type;VærutsattVeg;NVDB_GJENTAKELSESINTERVALL;gjentakelsesintervall
fme_feature_type;Vegsperring;NVDB_TYPE;type
fme_feature_type;Vegsperring;NVDB_GEOMETRI_PUNKT;posisjon
fme_feature_type;Lenkesekvensreferanse;IDENT;identifikasjon
fme_feature_type;Lenkesekvensreferanse;LRSTARTVERDI;startposisjon
fme_feature_type;Lenkesekvensreferanse;LRSLUTTVERDI;sluttposisjon
fme_feature_type;Veglenkeadresse;ADRESSEKODE;adressekode
fme_feature_type;Veglenkeadresse;ADRESSENAVN;adressenavn
fme_feature_type;Veglenkeadresse;SIDEVEG;sideveg
fme_feature_type;Vegreferanse;VEGNUMMER;vegnummer
fme_feature_type;Vegreferanse;HOVEDPARSELL;hovedparsell
fme_feature_type;Vegreferanse;METERFRA;veglenkeMeterFra
fme_feature_type;Vegreferanse;METERTIL;veglenkeMeterTil
fme_feature_type;Vegreferanse;REFERANSERETNING;referanseretning
fme_feature_type;Vegreferanse;VFRADATO;vegreferanseFraDato
fme_feature_type;Posisjonskvalitet;NØYAKTIGHET;nøyaktighet
fme_feature_type;Posisjonskvalitet;H-NØYAKTIGHET;nøyaktighetHøyde
fme_feature_type;Posisjonskvalitet;MAX-AVVIK;maksimaltAvvik
fme_feature_type;Identifikasjon;LOKALID;lokalId
fme_feature_type;Identifikasjon;NAVNEROM;navnerom
fme_feature_type;Identifikasjon;VERSJONID;versjonId
fme_feature_type;LineærPosisjonPunkt;LRPUNKTPOSISJON;posisjon
fme_feature_type;LineærPosisjonStrekning;RETNING;retning
fme_feature_type;LineærPosisjonStrekning;LRFRAPOSISJON;fraPosisjon
fme_feature_type;LineærPosisjonStrekning;LRTILPOSISJON;tilPosisjon
